Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Avg Pace,Best Pace,Avg Stroke Rate,Max Stroke Rate,Avg Stride Length,Avg SWOLF,Best SWOLF,Total Strokes,Avg Temp,Min Temp,Max Temp,Avg Power,Max Power,Normalized Power,TSS,Min Elevation,Max Elevation,Total Ascent,Total Descent,Moving Time,Elapsed Time
Lap Swimming,2026-08-05 07:15:00,false,Morning Swim 1500m,"1,500",480,00:35:12,135,155,2.5,0.71,0.92,"2:21","1:55",28,35,1.25,38,32,490,28.0,28.0,28.0,,,,,,,,00:34:10,00:38:00
Lap Swimming,2026-08-03 18:30:00,false,Evening Recovery Swim,"1,000",320,00:25:05,128,142,2.0,0.66,0.85,"2:31","2:10",25,30,1.20,42,38,350,29.0,29.0,29.0,,,,,,,,00:24:20,00:27:00
Lap Swimming,2026-07-31 06:45:00,false,Interval Swim 2000m,"2,000",650,00:45:20,142,168,3.2,0.74,1.05,"2:16","1:42",30,42,1.30,36,30,620,28.0,28.0,28.0,,,,,,,,00:43:10,00:48:30
Lap Swimming,2026-07-28 07:00:00,false,Tuesday Technique Drill,"1,250",410,00:32:45,130,148,2.2,0.64,0.80,"2:37","2:12",24,31,1.18,44,39,410,28.0,28.0,28.0,,,,,,,,00:31:00,00:34:00
Lap Swimming,2026-07-25 08:00:00,false,Weekend Endurance 2500m,"2,500",820,00:56:40,138,158,3.0,0.73,0.95,"2:16","1:50",29,38,1.28,37,31,790,27.0,27.0,27.0,,,,,,,,00:55:00,00:59:00
Open Water Swimming,2026-07-20 16:30:00,false,Lake Swim,"1,800",580,00:42:15,140,160,2.8,0.71,0.90,"2:21","1:58",27,33,1.22,40,35,580,26.0,26.0,26.0,,,,,,,,00:41:00,00:44:00
Lap Swimming,2026-07-18 07:15:00,false,Saturday Speed Set,"1,600",530,00:36:50,145,172,3.4,0.72,1.10,"2:18","1:35",31,44,1.32,35,28,510,28.0,28.0,28.0,,,,,,,,00:35:30,00:39:00
Lap Swimming,2026-07-15 19:00:00,false,Wednesday Night Swim,"1,200",380,00:29:15,131,146,2.1,0.68,0.88,"2:26","2:02",26,32,1.21,41,36,395,29.0,29.0,29.0,,,,,,,,00:28:10,00:31:30
Lap Swimming,2026-07-12 08:30:00,false,Long Slow Distance 3000m,"3,000",990,01:10:10,133,150,3.1,0.71,0.85,"2:20","2:05",27,31,1.24,39,34,970,27.0,27.0,27.0,,,,,,,,01:08:00,01:12:00
Lap Swimming,2026-07-09 07:00:00,false,Quick 1000m Swim,"1,000",310,00:22:40,132,148,2.0,0.74,0.90,"2:16","1:55",28,34,1.26,37,32,310,28.0,28.0,28.0,,,,,,,,00:21:50,00:24:10
